originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal
Kalle wird Bürgermeister,"(8, 9]",1957,87,0.0,3.295836866004329,0.6931471805599453,0.0,17,movie,0.0,False,False,2,['XWG'],Family,8.5,0.0
Shadowverse,"(6, 7]",2020,25,0.0,4.127134385045092,5.204006687076795,0.0,97,tvSeries,0.0,True,False,7,['JP'],"Action,Animation,Drama",6.5,0.6931471805599453
Men Are from Mars,"(7, 8]",2001,40,0.0,2.4849066497880004,2.0794415416798357,0.0,33,tvEpisode,0.0,False,False,1,['GB'],Drama,7.5,0.0
Saving God,"(5, 6]",2008,101,0.6931471805599453,6.7580945044277305,2.0794415416798357,1.0986122886681098,103,movie,0.6931471805599453,False,False,14,['CA'],"Crime,Drama",5.5,2.3978952727983707
Me and My Hormones,"(7, 8]",1996,60,0.0,2.995732273553991,0.0,0.0,35,tvEpisode,0.0,False,False,1,['US'],"Adventure,Comedy,Drama",7.5,0.0
Mashin Sentai Kirameijâ Supin'ofu: Yodonna,"(7, 8]",2021,33,0.0,2.70805020110221,0.6931471805599453,0.0,28,video,0.0,False,False,2,['JP'],"Action,Short",7.5,0.0
The Black Box of the Art Business,"(6, 7]",2018,52,0.0,2.302585092994046,0.0,0.0,4,movie,0.0,False,False,2,['FR'],Documentary,6.5,0.0
Episode #13.12,"(7, 8]",1990,40,0.0,2.4849066497880004,2.70805020110221,0.0,40,tvEpisode,0.0,False,False,7,['GB'],"Comedy,Drama,Family",7.5,0.0
Agnee 2,"(5, 6]",2015,150,0.0,5.5134287461649825,3.1780538303479458,0.0,29,movie,0.0,False,False,3,['BD'],Action,5.5,1.3862943611198906
Brooklyn Inshallah,"(5, 6]",2021,83,0.0,2.302585092994046,1.0986122886681098,0.0,31,movie,0.0,False,False,1,['US'],Documentary,5.5,1.0986122886681098
See Your Doctor,"(6, 7]",1939,8,0.0,5.0106352940962555,0.6931471805599453,0.0,10,short,0.0,False,False,1,['US'],"Comedy,Short",6.5,1.9459101490553132
The Mobile Fortress Attacks,"(7, 8]",2003,21,0.0,4.219507705176107,1.3862943611198906,0.0,82,tvEpisode,0.0,False,False,1,['JP'],"Action,Adventure,Animation",7.5,0.0
The Revolutionary War,"(7, 8]",1956,30,0.0,4.04305126783455,1.6094379124341003,0.0,36,tvEpisode,0.0,False,False,1,['US'],"Comedy,Family",7.5,0.6931471805599453
Freakshow,"(5, 6]",1999,7,0.0,4.59511985013459,0.6931471805599453,0.6931471805599453,87,short,0.0,False,False,1,['US'],"Horror,Short",5.5,1.3862943611198906
Chief Detective 1958,"(7, 8]",2024,53,0.0,6.530877627725885,2.302585092994046,0.0,19,tvSeries,0.0,True,False,15,['KR'],"Crime,Drama,Mystery",7.5,2.4849066497880004
Menses,"(5, 6]",1973,4,0.0,3.8066624897703196,0.6931471805599453,0.0,1,short,0.0,False,False,2,['US'],Short,5.5,0.0
Rob McElhenney/Sam Morril,"(6, 7]",2020,21,0.0,2.6390573296152584,1.6094379124341003,0.0,147,tvEpisode,0.0,False,False,1,['US'],"Comedy,Music,Talk-Show",6.5,0.0
Romantic Getaway,"(5, 6]",2023,23,0.0,6.406879986069314,0.6931471805599453,1.0986122886681098,124,tvSeries,0.6931471805599453,True,False,10,['GB'],"Comedy,Drama,Romance",5.5,2.5649493574615367
Shotgun's Menace,"(7, 8]",2001,40,0.0,5.209486152841421,0.6931471805599453,0.0,28,tvEpisode,0.0,False,False,1,['JP'],"Action,Animation,Comedy",7.5,0.6931471805599453
The Junkie,"(1, 2]",2005,2,0.0,3.8501476017100584,0.6931471805599453,0.0,9,short,0.0,False,False,1,['GB'],Short,1.5,0.0
A Mother's Love,"(8, 9]",2012,11,1.9459101490553132,2.1972245773362196,0.6931471805599453,0.6931471805599453,52,short,1.9459101490553132,False,False,1,['CA'],"Drama,Mystery,Short",8.5,0.0
"Prison, Pride and Vulgar Texts!/30-Year Friendship Busted","(6, 7]",2015,22,0.0,2.1972245773362196,0.0,0.0,12,tvEpisode,0.0,False,False,1,['US'],"Comedy,Crime,Reality-TV",6.5,0.0
Søndagsmagasinet,"(7, 8]",1980,53,0.0,2.4849066497880004,0.0,0.0,41,tvSeries,0.0,True,False,2,['DK'],News,7.5,0.0
You Must Remember This,"(6, 7]",1992,103,0.6931471805599453,3.9512437185814275,1.3862943611198906,0.0,36,tvMovie,1.3862943611198906,False,False,2,['US'],"Drama,Sport",6.5,1.0986122886681098
Every Dog Has Its Day,"(8, 9]",1997,43,0.0,2.5649493574615367,1.0986122886681098,0.0,76,tvEpisode,0.0,False,False,1,['US'],"Crime,Drama,Romance",8.5,0.0
Gde-to plachet ivolga...,"(5, 6]",1982,92,0.0,2.995732273553991,2.1972245773362196,0.0,30,movie,0.0,False,False,1,['SUHH'],Drama,5.5,0.0
Veronica Plays House,"(4, 5]",1999,40,0.0,4.007333185232471,0.0,0.0,77,tvEpisode,0.0,False,False,1,['US'],Comedy,4.5,0.0
Over the Mountain,"(7, 8]",2014,44,0.0,7.1731917424865985,3.2188758248682006,0.0,162,tvEpisode,0.0,False,False,1,['US'],"Action,Crime,Drama",7.5,2.1972245773362196
Matryoshka,"(8, 9]",2016,43,0.0,5.75890177387728,0.6931471805599453,1.0986122886681098,149,tvEpisode,0.0,False,False,1,['US'],"Action,Crime,Drama",8.5,0.0
Ce soir-là et les jours d'après,"(6, 7]",2019,90,0.0,2.4849066497880004,0.6931471805599453,0.0,53,tvMovie,0.0,False,False,1,['FR'],Drama,6.5,0.6931471805599453
Episode #1.4,"(7, 8]",2012,42,0.0,4.727387818712341,0.6931471805599453,0.0,108,tvEpisode,0.0,False,False,7,['GB'],Drama,7.5,1.3862943611198906
Vuelvo,"(6, 7]",2020,92,0.0,1.9459101490553132,1.9459101490553132,0.0,29,movie,0.6931471805599453,False,False,3,['AR'],Drama,6.5,0.0
"To Err Is Human, to Give Up Isn't a Bad Idea","(5, 6]",1992,40,0.0,3.713572066704308,0.0,0.0,86,tvEpisode,0.0,False,False,1,['US'],"Comedy,Drama,Family",5.5,0.0
Boxing,"(5, 6]",1980,28,0.0,3.8918202981106265,1.0986122886681098,0.0,1,videoGame,0.0,False,False,1,['US'],"Family,Sport",5.5,1.6094379124341003
Episode #1.5,"(8, 9]",2023,40,0.0,1.9459101490553132,1.0986122886681098,0.0,13,tvEpisode,0.0,False,False,7,['TH'],"Comedy,Romance",8.5,0.0
