originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalVideos,totalCredits,titleType,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal,nominations
Mark Leibovich,"(6, 7]",2016,26,3.2188758248682006,0,0,4.31748811353631,tvEpisode,False,True,False,0.6931471805599453,24,['US'],"Comedy,News,Talk-Show",6.5,0.0,0.0
Master Mosquiton,"(5, 6]",1996,180,3.970291913552122,6,0,4.31748811353631,tvSeries,True,True,False,1.3862943611198906,52,['JP'],"Action,Adventure,Animation",5.5,0.0,0.0
Prawo i piesc,"(7, 8]",1964,90,6.09807428216624,19,0,3.713572066704308,movie,False,True,False,2.1972245773362196,444,['PL'],Drama,7.5,1.6094379124341003,0.6931471805599453
La batalla de Chile: La lucha de un pueblo sin armas - Segunda parte: El golpe de estado,"(8, 9]",1976,88,7.1785454837637,5,0,3.9512437185814275,movie,False,True,False,2.70805020110221,1310,"['CL', 'CU']","Documentary,History",8.5,3.1780538303479458,0.0
"Burl of My Dreams/Meet the Author/Rhymes, Riddles, and Romance","(7, 8]",1982,60,4.5217885770490405,1,0,4.2626798770413155,tvEpisode,False,True,False,0.6931471805599453,91,['US'],"Comedy,Drama,Romance",7.5,0.6931471805599453,0.0
China Girl,"(5, 6]",1974,89,5.25227342804663,0,0,3.9512437185814275,movie,False,True,True,0.6931471805599453,190,['US'],"Adult,Crime,Thriller",5.5,2.0794415416798357,0.0
Podia Ser Pior,"(4, 5]",2010,90,2.4849066497880004,1,0,2.8903717578961645,movie,False,True,False,0.6931471805599453,11,['BR'],Comedy,4.5,0.0,0.0
Florida's Rich Cousin,"(7, 8]",1975,25,4.3694478524670215,1,0,3.784189633918261,tvEpisode,False,True,False,0.6931471805599453,78,['US'],Comedy,7.5,1.0986122886681098,0.0
"Sex, Lies and Kerosene","(7, 8]",1992,45,4.477336814478207,0,0,4.418840607796598,tvEpisode,False,True,False,0.6931471805599453,87,"['CA', 'US']","Comedy,Crime,Drama",7.5,0.0,0.0
At Michelle's Door,"(7, 8]",2018,42,3.258096538021482,11,0,4.343805421853684,tvEpisode,False,True,False,0.6931471805599453,25,"['US', 'CA', 'GB']","Crime,Documentary",7.5,0.0,0.0
Last Night,"(6, 7]",2017,104,5.14166355650266,1,0,3.8066624897703196,movie,False,True,False,1.6094379124341003,170,['PH'],Drama,6.5,1.3862943611198906,1.791759469228055
Feeb,"(7, 8]",1972,30,5.209486152841421,2,0,3.58351893845611,tvEpisode,False,True,False,0.6931471805599453,182,['US'],Comedy,7.5,1.6094379124341003,0.0
West of Sonora,"(5, 6]",1948,55,3.8918202981106265,2,0,3.6635616461296463,movie,False,True,False,1.0986122886681098,48,['US'],"Drama,Music,Western",5.5,1.0986122886681098,0.0
Deru ka!? Shugyô no iryoku,"(7, 8]",1986,24,6.26530121273771,4,0,3.5553480614894135,tvEpisode,False,True,False,0.6931471805599453,528,['JP'],"Action,Adventure,Animation",7.5,0.0,0.0
The Night That Panicked America,"(6, 7]",1975,92,6.63200177739563,2,0,4.127134385045092,tvMovie,False,True,False,2.3978952727983707,758,['US'],Drama,6.5,3.4965075614664802,1.6094379124341003
Un pays sans bon sens!,"(8, 9]",1970,117,4.0943445622221,16,0,3.6635616461296463,movie,False,True,False,1.791759469228055,59,['CA'],Documentary,8.5,0.0,0.0
Up In Smoke,"(8, 9]",2020,61,4.499809670330265,0,0,3.5553480614894135,tvEpisode,False,True,False,0.6931471805599453,89,['US'],"Documentary,Game-Show,Reality-TV",8.5,0.0,0.0
The Thirty-Ninth Star,"(7, 8]",1958,60,4.454347296253507,5,0,3.8066624897703196,tvEpisode,False,True,False,0.6931471805599453,85,['US'],Western,7.5,1.6094379124341003,0.0
Bloody ghost,"(1, 2]",2017,5,3.5263605246161616,1,0,2.0794415416798357,short,False,True,False,0.6931471805599453,33,['RU'],"Horror,Short,Thriller",1.5,0.0,0.0
Dragon's Teeth,"(7, 8]",1965,60,4.442651256490317,9,0,3.9512437185814275,tvEpisode,False,True,False,0.6931471805599453,84,['US'],"Action,Adventure",7.5,1.0986122886681098,0.0
El motel,"(8, 9]",1989,40,2.302585092994046,0,0,2.6390573296152584,tvEpisode,False,True,False,0.6931471805599453,9,['MX'],"Fantasy,Horror,Mystery",8.5,0.0,0.0
Jane Eyre,"(6, 7]",1970,110,7.095064377287131,22,1,4.189654742026425,movie,False,True,False,3.044522437723423,1206,"['GB', 'US']",Drama,6.5,3.871201010907891,1.791759469228055
Agape,"(6, 7]",2002,45,3.7612001156935624,2,0,4.406719247264253,tvEpisode,False,True,False,0.6931471805599453,42,['US'],"Action,Drama,Fantasy",6.5,0.0,0.0
The Hucksters,"(6, 7]",1988,60,4.836281906951478,23,0,4.394449154672439,tvEpisode,False,True,False,0.6931471805599453,126,['US'],"Crime,Drama,Mystery",6.5,0.6931471805599453,0.0
Zonde van de zendtijd,"(7, 8]",2009,53,5.1647859739235145,2,0,4.700480365792417,tvSeries,True,True,False,0.6931471805599453,174,['BE'],Comedy,7.5,0.0,0.0
Censored at the Seaside: The Saucy Postcards of Donald McGill,"(6, 7]",2005,60,2.1972245773362196,0,0,3.295836866004329,tvMovie,False,True,False,0.6931471805599453,8,['GB'],Documentary,6.5,0.0,0.0
Public Indecency,"(6, 7]",2023,30,2.302585092994046,1,0,3.091042453358316,short,False,True,False,0.6931471805599453,9,['EG'],"Comedy,Drama,Romance",6.5,0.6931471805599453,0.0
To hamogelo tis Pythias,"(3, 4]",1979,81,3.4339872044851463,2,0,3.091042453358316,movie,False,True,False,1.3862943611198906,30,['GR'],"Action,Comedy,Thriller",3.5,0.0,0.0
Air Maniacs,"(4, 5]",1933,11,2.772588722239781,0,0,2.1972245773362196,short,False,True,False,0.6931471805599453,15,['US'],"Comedy,Short",4.5,0.6931471805599453,0.0
My Dear Miss Aldrich,"(6, 7]",1937,92,6.045005314036012,3,0,4.143134726391533,movie,False,True,False,1.791759469228055,421,['US'],"Comedy,Drama,Romance",6.5,2.995732273553991,0.0
Ducking and Diving,"(7, 8]",2007,46,5.337538079701318,1,0,4.912654885736052,tvEpisode,False,True,False,0.6931471805599453,207,['GB'],"Action,Adventure,Comedy",7.5,0.0,0.0
La legge è uguale per tutti... forse,"(5, 6]",2014,95,3.5553480614894135,1,0,3.9889840465642745,movie,False,True,False,0.6931471805599453,34,['IT'],Comedy,5.5,0.0,0.0
Der Weiberhof,"(9, 10]",1975,90,2.1972245773362196,1,0,2.6390573296152584,tvMovie,False,True,False,0.6931471805599453,8,['XWG'],Comedy,9.5,0.0,0.0
Lost in the Stars,"(6, 7]",1974,97,4.955827057601261,4,1,3.8066624897703196,movie,False,True,False,2.0794415416798357,141,['US'],"Drama,Musical",6.5,2.6390573296152584,0.0
Lisa,"(7, 8]",1998,92,2.6390573296152584,4,0,2.0794415416798357,movie,False,True,False,1.0986122886681098,13,['SE'],"Animation,Family",7.5,0.0,0.0
Episode #14.5,"(9, 10]",2022,30,1.9459101490553132,10,0,3.8918202981106265,tvEpisode,False,True,False,2.0794415416798357,6,['AU'],"Comedy,Talk-Show",9.5,0.0,0.0
Promised Land,"(6, 7]",1996,60,6.666956792429207,6,0,6.429719478039138,tvSeries,True,True,False,2.4849066497880004,785,['US'],Drama,6.5,3.367295829986474,3.1354942159291497
Expedition Alaska,"(6, 7]",2016,91,2.302585092994046,3,0,4.795790545596741,movie,False,True,False,0.6931471805599453,9,['US'],Adventure,6.5,0.0,0.0
Il mio amico Jekyll,"(5, 6]",1960,100,4.248495242049359,1,0,3.9889840465642745,movie,False,True,False,1.3862943611198906,69,['IT'],"Comedy,Horror",5.5,1.6094379124341003,0.0
Hart and Soul: The Hart Family Anthology,"(7, 8]",2010,98,5.181783550292085,2,1,4.290459441148391,video,False,True,False,1.3862943611198906,177,['US'],"Action,Biography,Documentary",7.5,0.0,0.0
MNM: Mars Need Men,"(7, 8]",2005,71,2.4849066497880004,0,0,3.044522437723423,video,False,True,True,0.6931471805599453,11,['US'],Adult,7.5,0.0,0.0
Gwai ching lei tai hei,"(4, 5]",1999,85,4.867534450455582,5,0,2.9444389791664403,movie,False,True,False,1.791759469228055,130,['HK'],"Comedy,Horror,Romance",4.5,1.9459101490553132,0.0
Rayman,"(7, 8]",1995,28,6.727431724850855,13,3,3.6375861597263857,videoGame,False,True,False,0.6931471805599453,834,['FR'],"Action,Adventure,Family",7.5,1.791759469228055,0.0
The Sorcerer,"(6, 7]",1955,26,4.795790545596741,1,0,3.258096538021482,tvEpisode,False,True,False,0.6931471805599453,120,['GB'],"Crime,Drama,Mystery",6.5,2.1972245773362196,0.0
The Day of Rest,"(6, 7]",1971,25,3.6635616461296463,55,0,2.4849066497880004,tvEpisode,False,True,False,0.6931471805599453,38,['GB'],Comedy,6.5,0.6931471805599453,0.0
