startYear;runtimeMinutes;numVotes;totalImages;totalVideos;totalCredits;AwNmExWins;numRegions;ratingCount;ratingMean;ReviewsTotal
1998;25;85;1;0;170;0;15;85;6.5;1
2019;92;2602;6;1;181;2;14;2603;5.5;82
1926;21;644;11;0;32;0;7;644;5.5;18
1985;60;78;2;0;90;0;1;78;6.5;1
2015;71;7;0;0;8;0;1;7;9.5;0
2016;97;1055;4;0;140;8;8;1055;6.5;7
1985;92;744;8;0;70;3;5;744;6.5;33
2018;96;48;16;1;138;0;6;48;5.5;4
1983;92;14;2;0;49;0;2;14;5.5;0
2012;81;70;1;0;69;0;3;70;5.5;0
1994;68;105;0;0;9;0;1;105;5.5;0
1903;1;98;0;0;2;0;1;98;5.5;0
1997;49;10;1;0;102;0;1;10;6.5;1
2013;50;8;21;0;17;0;1;8;8.5;0
1994;90;93;2;0;90;0;7;92;4.5;2
1936;7;127;1;0;7;0;2;128;5.5;5
1957;8;49;1;0;10;0;1;49;5.5;3
2013;60;15;2;0;30;0;1;15;7.5;0
1990;48;43;5;0;104;0;1;43;8.5;0
2022;45;6779;11;4;64;0;33;6785;6.5;73
2007;85;30;2;0;15;0;1;30;7.5;3
2015;59;579;1;0;115;0;1;579;7.5;8
2007;15;5;0;0;16;0;1;5;6.5;0
1995;185;443;2;0;140;1;9;443;6.5;18
1997;40;3780;17;0;153;0;1;3782;7.5;13
2020;67;2869;15;0;315;0;1;2873;8.5;63
2016;21;1213;18;3;147;0;1;1214;7.5;4
2022;40;76;49;0;45;0;7;76;7.5;0
2011;87;310;1;0;35;0;2;310;3.5;2
2024;126;18;1;0;7;1;1;18;6.5;11
2022;86;86;6;1;62;0;2;86;5.5;4
2020;92;23;1;0;30;0;1;23;4.5;1
1952;92;106;13;0;30;0;5;106;6.5;8
2010;24;23;1;0;18;0;1;23;6.5;1
1911;17;26;1;0;15;0;1;26;5.5;1
1991;118;15;0;0;15;0;2;15;5.5;0
2023;92;10;2;0;35;0;3;10;5.5;0
2018;92;1345;28;1;37;0;24;1346;5.5;11
2016;49;3098;17;0;232;0;1;3102;7.5;13
2017;104;56;7;1;49;3;1;56;8.5;12
1950;7;48;1;0;18;0;1;48;7.5;2
1974;114;116;6;0;74;0;9;116;6.5;5
1936;75;137;10;0;20;0;2;137;6.5;0
1997;21;89;1;0;16;0;1;89;7.5;5
1985;48;73;1;0;79;0;1;75;7.5;0
1975;28;11;0;0;41;0;1;11;8.5;0
2016;23;10;4;0;16;3;2;10;8.5;0
2012;92;11;1;0;28;0;1;11;6.5;0
1947;77;82;13;0;49;0;10;82;6.5;0
1994;91;280;12;1;67;0;12;280;5.5;9
1932;13;180;2;0;6;0;1;180;6.5;1
2018;96;5221;20;1;663;0;19;5226;5.5;39
2021;79;321;6;1;105;3;21;322;5.5;16
2009;71;10;1;0;8;0;1;10;5.5;1
1972;30;100;11;0;29;0;1;100;8.5;5
2020;91;145;17;1;151;1;3;144;7.5;10
2005;60;95;1;0;175;0;3;95;5.5;0
1993;92;15;1;0;23;0;1;15;5.5;0
1955;77;531;4;0;71;0;9;532;5.5;25
1974;67;11;0;0;12;0;2;11;3.5;1
1994;30;35;4;0;9;0;1;35;4.5;0
2022;29;17;0;0;69;0;1;17;6.5;0
1995;71;9;1;0;46;0;1;9;6.5;0
2018;88;43;2;0;5;0;5;43;5.5;0
1999;60;9;1;0;25;0;7;9;6.5;0
2006;106;133;27;1;14;0;5;133;6.5;4
2016;43;287;2;0;131;0;1;287;7.5;0
2022;53;10;16;0;15;1;1;10;6.5;0
2022;22;6;4;0;6;0;1;6;8.5;0
1987;87;84;2;0;108;2;5;84;6.5;3
2023;14;24;1;0;38;1;1;24;7.5;3
1966;30;222;12;0;39;0;1;222;6.5;5
2007;85;49;2;0;27;0;1;49;5.5;5
1996;43;713;220;0;99;0;1;713;8.5;3
2009;92;23;2;0;47;0;2;23;3.5;0
1965;30;11;0;0;31;0;1;11;7.5;0
1976;42;9;19;0;19;0;1;9;5.5;0
1997;28;28;1;1;32;0;1;28;7.5;0
1999;40;11;0;0;24;0;1;11;8.5;1
2022;88;8;3;0;22;0;5;8;3.5;0
2019;66;26;1;1;9;0;1;26;8.5;2
1970;51;38;1;0;36;0;1;38;7.5;0
1987;62;132;0;0;9;0;1;132;7.5;0
1999;40;62;1;0;81;0;1;62;8.5;0
1975;92;2048;8;1;73;3;19;2048;6.5;67
2006;40;13;0;0;121;0;7;13;5.5;0
1994;101;72;23;0;38;0;3;72;6.5;1
1983;42;12;0;0;6;0;1;12;6.5;0
1936;18;10;8;0;28;0;1;10;6.5;1
1982;30;1227;11;0;76;0;1;1227;7.5;6
2008;53;136;27;0;138;0;3;136;5.5;0
1986;240;136;3;0;74;0;13;136;7.5;3
1986;67;116;0;0;16;0;1;116;5.5;1
2014;92;92;2;0;9;1;3;92;8.5;1
1995;21;10;9;0;4;0;1;10;6.5;0
1993;12;1042;9;0;46;3;7;1043;6.5;9
2012;30;2297;52;4;334;0;7;2297;6.5;42
2017;13;37;1;0;26;0;1;37;7.5;0
1978;98;256;16;0;105;0;15;256;5.5;15
1949;18;20;0;0;4;0;1;20;6.5;0
1969;85;37;1;0;30;0;3;37;7.5;0
1992;30;96;1;0;71;0;1;96;6.5;0
1990;25;160;1;0;73;0;1;160;6.5;2
1966;97;564;67;0;75;0;24;564;5.5;21
1999;16;1002;5;0;15;0;2;1003;7.5;10
1996;28;74;1;1;43;0;1;74;8.5;3
