originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isRatable,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal,popularityIndex
1979 AFC Championship Game,"(8, 9]",0.6986301369863028,0.14385964912280702,0.0,0.043171359438705426,0.0,0.0,0.5169988401215794,tvSpecial,0.0,False,True,False,0.0,['US'],Sport,0.8888888888888888,0.0,0.0
Golubaya chashka,"(6, 7]",0.5958904109589049,0.10526315789473685,0.0,0.12060975464774229,0.08492425673851772,0.0,0.4260100007328882,movie,0.0,False,True,False,0.1949590218937863,['SUHH'],Family,0.6666666666666666,0.0,0.0
The Formula,"(2, 3]",0.9315068493150687,0.15789473684210525,0.1390854521985406,0.4095071788687241,0.23841253015696137,0.12473792114200281,0.6223738683694445,movie,0.0,False,True,False,0.30900273887892615,['US'],"Comedy,Romance",0.22222222222222224,0.23952632067513063,0.0027063040310080495
Kako ubiv svetec,"(6, 7]",0.8630136986301373,0.14385964912280702,0.1390854521985406,0.33685939991686187,0.08492425673851772,0.0,0.5474474798758543,movie,0.287117705382262,False,True,False,0.35236014781927083,"['FR', 'MK', 'SI']",Drama,0.6666666666666666,0.1853228591194706,0.0
The Electric Can Opener Fluctuation,"(8, 9]",0.8972602739726039,0.0368421052631579,0.0,0.5607676742958729,0.30445027580920203,0.0,0.5474474798758543,tvEpisode,0.0,False,True,False,0.0,['US'],"Comedy,Romance",0.8888888888888888,0.2779842886792059,0.0
Sashiyum Sakunthalayum,"(4, 5]",0.993150684931507,0.21403508771929824,0.0,0.35680975661718684,0.25477277021555317,0.24947584228400563,0.3628095491043426,movie,0.0,False,True,False,0.1949590218937863,['IN'],Comedy,0.4444444444444444,0.0,0.010079423893856665
Justice of the Siblings of the Shinobi Village,"(8, 9]",0.7260273972602747,0.07017543859649122,0.0,0.043171359438705426,0.0,0.0,0.4001771790229123,tvEpisode,0.0,False,True,False,0.0,['JP'],"Action,Adventure,Animation",0.8888888888888888,0.0,0.0
Side Roads,"(6, 7]",0.9452054794520546,0.02982456140350877,0.0,0.05122629998801717,0.08492425673851772,0.0,0.18291003719322776,short,0.0,False,True,False,0.0,['PL'],Short,0.6666666666666666,0.0,0.0
Boxeurs,"(4, 5]",0.15068493150685036,0.0017543859649122807,0.0,0.07160760694177479,0.08492425673851772,0.0,0.13378330622927515,short,0.0,False,True,False,0.0,['FR'],"Comedy,Short",0.4444444444444444,0.0,0.0
The New Batman Adventures,"(8, 9]",0.8150684931506849,0.052631578947368425,0.3904622288161806,0.6844698292049644,0.8060885692769958,0.0,0.7871660179703004,tvSeries,0.49663203413499263,True,True,False,0.7798360875751452,['US'],"Action,Adventure,Animation",0.8888888888888888,0.5175106093543366,0.0
Spring,"(7, 8]",0.6301369863013697,0.04035087719298246,0.0,0.05857988457052593,0.5566435864552978,0.0,0.2616063847668191,tvEpisode,0.0,False,True,False,0.0,['GB'],Comedy,0.7777777777777777,0.0,0.0
The Whole Truth,"(6, 7]",0.9452054794520546,0.1631578947368421,0.0,0.7307503304658874,0.4579385492276457,0.5098616175627516,0.6795028925268455,movie,0.143558852691131,False,True,False,0.7884911216631053,['US'],"Crime,Drama,Mystery",0.6666666666666666,0.7167092506395636,0.11374630161806866
The Man from Thunder River,"(6, 7]",0.44520547945205635,0.1,0.0,0.14407322032887457,0.30445027580920203,0.0,0.4220096051961145,movie,0.0,False,True,False,0.1949590218937863,['US'],"Drama,Western",0.6666666666666666,0.0926614295597353,0.0
Leichenfund im Jagen 14,"(5, 6]",0.6164383561643838,0.1298245614035088,0.0,0.013027722371248884,0.0,0.0,0.4513085909528991,tvEpisode,0.0,False,True,False,0.0,['DDDE'],Crime,0.5555555555555555,0.0,0.0
What Did You Do in the War Daddy?,"(6, 7]",0.6301369863013697,0.07017543859649122,0.0,0.10175124400923133,0.1971880176585917,0.0,0.2941865266585706,tvEpisode,0.0,False,True,False,0.0,['GB'],"Drama,History,War",0.6666666666666666,0.0926614295597353,0.0
Stuck in the Middle with You,"(5, 6]",0.883561643835618,0.052631578947368425,0.0,0.11715976914105183,0.08492425673851772,0.0,0.4838887328446507,tvEpisode,0.0,False,True,False,0.0,['GB'],Comedy,0.5555555555555555,0.14686489111539536,0.0
Patagonia Treasure Trail,"(4, 5]",0.9452054794520546,0.14912280701754385,0.0,0.10587464271210631,0.16984851347703545,0.0,0.4220096051961145,movie,0.0,False,True,False,0.1140437169851399,['US'],Western,0.4444444444444444,0.0,0.0
O ahaireftos,"(5, 6]",0.6301369863013697,0.1456140350877193,0.0,0.1098061845585431,0.47171932971678004,0.0,0.45458974708786615,movie,0.0,False,True,False,0.1140437169851399,['GR'],Comedy,0.5555555555555555,0.0,0.0
Kavyaarohan with Momila,"(4, 5]",0.9726027397260282,0.13157894736842105,0.0,0.0,0.08492425673851772,0.0,0.2196032765210674,tvEpisode,0.0,False,True,False,0.0,['NP'],Reality-TV,0.4444444444444444,0.0,0.0
A Woman's Help,"(7, 8]",0.5684931506849313,0.052631578947368425,0.0,0.36279194008797144,0.16984851347703545,0.0,0.3628095491043426,tvEpisode,0.0,False,True,False,0.0,['US'],"Drama,Mystery",0.7777777777777777,0.2779842886792059,0.0
Episode #1.3467,"(6, 7]",0.883561643835618,0.04912280701754386,0.0,0.07160760694177479,0.0,0.0,0.45458974708786615,tvEpisode,0.0,False,True,False,0.38991804378757255,['GB'],"Crime,Drama,Romance",0.6666666666666666,0.0,0.0
Tørst - Framtidens forbrytelser,"(4, 5]",0.8287671232876725,0.16140350877192983,0.1390854521985406,0.03426703577033152,0.13460176233216656,0.0,0.5491551637090283,movie,0.0,False,True,False,0.0,['NO'],"Crime,Drama",0.4444444444444444,0.0,0.0
Sie und Er,"(7, 8]",0.7808219178082201,0.32280701754385965,0.1390854521985406,0.05122629998801717,0.0,0.0,0.44795199937150487,tvMovie,0.0,False,True,False,0.0,['DE'],Drama,0.7777777777777777,0.0,0.0
Hot Shorts: Christy Canyon,"(7, 8]",0.7397260273972606,0.12456140350877193,0.0,0.10587464271210631,0.0,0.0,0.23498647056679875,video,0.0,False,True,True,0.0,['US'],"Adult,Short",0.7777777777777777,0.0926614295597353,0.0
Sir Hubert Wilkins & Mary Healy and Peter Lind Hayes,"(8, 9]",0.5479452054794525,0.052631578947368425,0.0,0.14904600215081173,0.21952601907068428,0.0,0.28411320153075126,tvEpisode,0.0,False,True,False,0.0,['US'],"Family,Game-Show",0.8888888888888888,0.0,0.0
Pälsen,"(5, 6]",0.6027397260273979,0.043859649122807015,0.0,0.0,0.08492425673851772,0.0,0.24890226227785198,tvMovie,0.0,False,True,False,0.1140437169851399,['SE'],Drama,0.5555555555555555,0.0,0.0
Pryanik,"(5, 6]",0.787671232876713,0.017543859649122806,0.0,0.13018749151230072,0.21952601907068428,0.0,0.3628095491043426,short,0.0,False,True,False,0.2577218083931565,['RU'],"Animation,Short",0.5555555555555555,0.0,0.0
Místa,"(5, 6]",0.9315068493150687,0.18947368421052632,0.0,0.19173304559952434,0.5239762948798863,0.12473792114200281,0.4670232387239791,movie,0.0,False,True,False,0.30900273887892615,"['CZ', 'SK']",Drama,0.5555555555555555,0.2779842886792059,0.006962009431663058
Giger - tajunnan ydin,"(4, 5]",0.7808219178082201,0.052631578947368425,0.1390854521985406,0.14147261794124624,0.08492425673851772,0.0,0.3628095491043426,short,0.0,False,True,False,0.2577218083931565,['FI'],"Documentary,Short",0.4444444444444444,0.0,0.0
Sands of Time,"(8, 9]",0.8150684931506849,0.043859649122807015,0.0,0.14659618108590136,0.0,0.0,0.3501054266153756,tvEpisode,0.0,False,True,False,0.0,['GB'],"Crime,Drama",0.8888888888888888,0.0926614295597353,0.0
In Character With...,"(2, 3]",0.8972602739726039,0.09298245614035087,0.0,0.09284692034085743,0.0,0.0,0.5439709988912721,tvSeries,0.0,True,True,False,0.0,['US'],Talk-Show,0.22222222222222224,0.0,0.0
The Dossier Case,"(9, 10]",0.9178082191780828,0.07017543859649122,0.1390854521985406,0.043171359438705426,0.08492425673851772,0.0,0.5810546269632214,short,0.37109425085312603,False,True,False,0.0,['AU'],"Adventure,Comedy,Short",1.0,0.0,0.0
The Mysterious Rain Shelter! Nyasper Is Watching!!,"(7, 8]",0.9315068493150687,0.0368421052631579,0.0,0.24505265158609188,0.13460176233216656,0.0,0.6049196423893423,tvEpisode,0.0,False,True,False,0.0,['JP'],"Action,Adventure,Animation",0.7777777777777777,0.0,0.0
Hoodlum Priest and the Gold Mint,"(5, 6]",0.6164383561643838,0.14035087719298245,0.0,0.12060975464774229,0.08492425673851772,0.0,0.23498647056679875,movie,0.0,False,True,False,0.1140437169851399,['JP'],"Action,Crime",0.5555555555555555,0.0926614295597353,0.0
Episode #2.46,"(8, 9]",0.6712328767123292,0.07017543859649122,0.0,0.07160760694177479,0.0,0.0,0.4838887328446507,tvEpisode,0.0,False,True,False,0.38991804378757255,['US'],"Comedy,Romance",0.8888888888888888,0.0,0.0
The Switchman,"(7, 8]",0.8082191780821919,0.07017543859649122,0.0,0.34531774413886507,0.25477277021555317,0.0,0.5252266677152501,tvEpisode,0.0,False,True,False,0.0,['US'],"Action,Adventure,Crime",0.7777777777777777,0.33218775023486596,0.0
Ad Fundum,"(6, 7]",0.787671232876713,0.17192982456140352,0.1390854521985406,0.46336062381245036,0.16984851347703545,0.0,0.5525117552904227,movie,0.143558852691131,False,True,False,0.1949590218937863,['BE'],Drama,0.6666666666666666,0.2937297822307907,0.0
Achtunddreißig fünf,"(8, 9]",0.787671232876713,0.04912280701754386,0.0,0.12392441120803724,0.0,0.0,0.45779878402980745,tvEpisode,0.0,False,True,False,0.0,['DE'],"Comedy,Family",0.8888888888888888,0.0,0.0
Hush,"(6, 7]",0.883561643835618,0.14210526315789473,0.0,0.013027722371248884,0.0,0.0,0.3501054266153756,tvMovie,0.0,False,True,False,0.0,['AU'],Comedy,0.6666666666666666,0.0,0.0
The Colour of Money,"(6, 7]",0.8972602739726039,0.09298245614035087,0.0,0.05857988457052593,0.08492425673851772,0.0,0.3433132576225233,tvSeries,0.0,True,True,False,0.0,['GB'],Game-Show,0.6666666666666666,0.0,0.0
Slave,"(2, 3]",0.9178082191780828,0.1929824561403509,0.0,0.15599618306062898,0.08492425673851772,0.0,0.5385959635793693,movie,0.0,False,True,False,0.1140437169851399,"['CY', 'DE']","Crime,Thriller",0.22222222222222224,0.0,0.0
And Away We Go!,"(7, 8]",0.7602739726027412,0.08421052631578947,0.0,0.22979905392014352,0.08492425673851772,0.0,0.5169988401215794,tvEpisode,0.0,False,True,False,0.0,['US'],"Drama,Romance",0.7777777777777777,0.0,0.0
Tricky Business,"(5, 6]",0.801369863013699,0.12456140350877193,0.0,0.23692014066973202,0.0,0.0,0.2196032765210674,video,0.0,False,True,True,0.0,['US'],Adult,0.5555555555555555,0.0,0.0
Mea Culpa,"(7, 8]",0.9589041095890423,0.08771929824561403,0.0,0.21784794367473484,0.0,0.0,0.638883731167194,tvEpisode,0.0,False,True,False,0.0,"['IT', 'FR']","Drama,Mystery",0.7777777777777777,0.0926614295597353,0.0
Ice Bound,"(6, 7]",0.8561643835616444,0.156140350877193,0.0,0.39100788662832753,0.5239762948798863,0.0,0.6072189860251413,tvMovie,0.143558852691131,False,True,False,0.45268083028694284,"['CA', 'US']",Drama,0.6666666666666666,0.37875015014255387,0.0
